filename,width,height,class,xmin,ymin,xmax,ymax
143.jpg,574,500,polyp,450,209,549,454
144.jpg,574,500,polyp,312,216,539,480
145.jpg,574,500,polyp,251,221,502,479
146.jpg,574,500,polyp,445,205,551,473
147.jpg,574,500,polyp,365,251,494,429
148.jpg,574,500,polyp,404,243,542,474
149.jpg,574,500,polyp,181,69,363,279
150.jpg,574,500,polyp,191,138,357,311
151.jpg,574,500,polyp,164,173,307,302
152.jpg,574,500,polyp,233,208,367,324
153.jpg,574,500,polyp,270,252,422,366
154.jpg,574,500,polyp,250,304,379,420
155.jpg,574,500,polyp,195,148,306,266
156.jpg,574,500,polyp,245,376,355,475
157.jpg,574,500,polyp,201,356,294,445
158.jpg,574,500,polyp,167,334,260,418
159.jpg,574,500,polyp,180,253,282,339
160.jpg,574,500,polyp,182,185,282,262
161.jpg,574,500,polyp,184,158,291,237
162.jpg,574,500,polyp,113,161,207,228
163.jpg,574,500,polyp,127,220,239,310
164.jpg,574,500,polyp,113,273,237,372
165.jpg,574,500,polyp,121,289,256,399
166.jpg,574,500,polyp,126,327,270,456
167.jpg,574,500,polyp,136,369,244,465
168.jpg,574,500,polyp,139,376,241,466
169.jpg,574,500,polyp,217,354,356,459
170.jpg,574,500,polyp,183,323,365,470
171.jpg,574,500,polyp,129,265,418,480
172.jpg,574,500,polyp,253,138,371,223
173.jpg,574,500,polyp,164,122,287,223
174.jpg,574,500,polyp,160,138,275,227
175.jpg,574,500,polyp,227,265,357,381
176.jpg,574,500,polyp,183,220,317,333
177.jpg,574,500,polyp,223,193,326,284
178.jpg,574,500,polyp,324,158,430,245
179.jpg,574,500,polyp,85,129,198,216
180.jpg,574,500,polyp,182,210,323,329
181.jpg,574,500,polyp,59,242,171,353
182.jpg,574,500,polyp,42,255,138,355
183.jpg,574,500,polyp,29,284,109,373
184.jpg,574,500,polyp,119,253,208,340
185.jpg,574,500,polyp,152,244,223,297
186.jpg,574,500,polyp,181,220,252,286
187.jpg,574,500,polyp,211,177,289,243
188.jpg,574,500,polyp,215,252,287,319
189.jpg,574,500,polyp,284,286,382,393
190.jpg,574,500,polyp,339,226,435,309
191.jpg,574,500,polyp,99,103,240,203
192.jpg,574,500,polyp,144,131,267,228
193.jpg,574,500,polyp,220,312,343,423
194.jpg,574,500,polyp,180,210,312,320
195.jpg,574,500,polyp,206,163,316,249
196.jpg,574,500,polyp,76,123,189,209
197.jpg,574,500,polyp,180,206,332,331
198.jpg,574,500,polyp,28,286,108,367
199.jpg,574,500,polyp,112,299,213,393
200.jpg,574,500,polyp,219,181,303,248
201.jpg,574,500,polyp,207,289,278,351
202.jpg,574,500,polyp,210,200,331,302
203.jpg,574,500,polyp,339,219,434,309
204.jpg,574,500,polyp,405,239,514,303
205.jpg,574,500,polyp,349,262,430,304
206.jpg,574,500,polyp,288,233,375,278
207.jpg,574,500,polyp,350,289,452,334
208.jpg,574,500,polyp,273,232,349,268
209.jpg,574,500,polyp,435,380,500,431
210.jpg,574,500,polyp,330,384,438,454
211.jpg,574,500,polyp,321,373,429,446
212.jpg,574,500,polyp,277,334,423,439
213.jpg,574,500,polyp,285,325,424,425
214.jpg,574,500,polyp,264,293,388,380
215.jpg,574,500,polyp,239,280,367,368
216.jpg,574,500,polyp,240,286,369,393
217.jpg,574,500,polyp,473,204,547,347
218.jpg,574,500,polyp,375,222,536,376
219.jpg,574,500,polyp,293,264,453,397
220.jpg,574,500,polyp,279,269,406,380
221.jpg,574,500,polyp,98,322,263,425
222.jpg,574,500,polyp,83,345,215,473
223.jpg,574,500,polyp,226,372,379,464
224.jpg,574,500,polyp,192,410,304,477
225.jpg,574,500,polyp,185,427,273,477
226.jpg,574,500,polyp,385,282,491,464
227.jpg,574,500,polyp,131,138,362,449
228.jpg,574,500,polyp,205,59,441,355
229.jpg,574,500,polyp,313,162,460,385
230.jpg,574,500,polyp,355,203,469,386
231.jpg,574,500,polyp,423,237,506,359
232.jpg,574,500,polyp,108,310,231,452
233.jpg,574,500,polyp,155,281,277,451
234.jpg,574,500,polyp,249,205,364,362
235.jpg,574,500,polyp,124,359,217,465
236.jpg,574,500,polyp,86,313,234,477
237.jpg,574,500,polyp,168,168,366,406
238.jpg,574,500,polyp,230,147,410,366
239.jpg,574,500,polyp,184,123,345,289
240.jpg,574,500,polyp,115,109,252,265
241.jpg,574,500,polyp,212,145,330,267
242.jpg,574,500,polyp,209,257,320,375
243.jpg,574,500,polyp,266,215,363,327
244.jpg,574,500,polyp,310,383,435,466
245.jpg,574,500,polyp,209,257,320,375
246.jpg,574,500,polyp,266,215,363,327
247.jpg,574,500,polyp,310,383,435,466
248.jpg,574,500,polyp,209,257,320,375
249.jpg,574,500,polyp,266,215,363,327
250.jpg,574,500,polyp,310,383,435,466
251.jpg,574,500,polyp,209,257,320,375
252.jpg,574,500,polyp,266,215,363,327
253.jpg,574,500,polyp,310,383,435,466
254.jpg,574,500,polyp,209,257,320,375
255.jpg,574,500,polyp,266,215,363,327
256.jpg,574,500,polyp,310,383,435,466
257.jpg,574,500,polyp,209,257,320,375
258.jpg,574,500,polyp,266,215,363,327
259.jpg,574,500,polyp,310,383,435,466
260.jpg,574,500,polyp,209,257,320,375
261.jpg,574,500,polyp,266,215,363,327
262.jpg,574,500,polyp,310,383,435,466
263.jpg,574,500,polyp,209,257,320,375
264.jpg,574,500,polyp,145,228,189,350
265.jpg,574,500,polyp,433,181,488,285
266.jpg,574,500,polyp,192,330,302,463
267.jpg,574,500,polyp,328,173,378,234
268.jpg,574,500,polyp,111,200,147,315
269.jpg,574,500,polyp,152,226,201,370
270.jpg,574,500,polyp,168,186,263,444
271.jpg,574,500,polyp,145,228,189,350
272.jpg,574,500,polyp,433,181,488,285
273.jpg,574,500,polyp,315,335,401,449
274.jpg,574,500,polyp,228,149,551,334
275.jpg,574,500,polyp,217,175,548,352
276.jpg,574,500,polyp,224,173,556,358
277.jpg,574,500,polyp,271,154,549,329
278.jpg,574,500,polyp,293,130,549,254
279.jpg,574,500,polyp,316,200,546,361
280.jpg,574,500,polyp,344,220,547,386
281.jpg,574,500,polyp,359,246,547,414
282.jpg,574,500,polyp,417,327,535,433
283.jpg,574,500,polyp,417,368,517,478
284.jpg,574,500,polyp,286,363,486,479
285.jpg,574,500,polyp,247,329,477,477
286.jpg,574,500,polyp,149,305,548,480
287.jpg,574,500,polyp,216,168,545,357
288.jpg,574,500,polyp,218,178,548,358
289.jpg,574,500,polyp,224,170,548,348
290.jpg,574,500,polyp,240,195,547,342
291.jpg,574,500,polyp,219,204,521,338
292.jpg,574,500,polyp,186,13,471,221
293.jpg,574,500,polyp,124,115,449,264
294.jpg,574,500,polyp,228,149,551,334
295.jpg,574,500,polyp,217,175,548,352
296.jpg,574,500,polyp,224,173,556,358
297.jpg,574,500,polyp,271,154,549,329
298.jpg,574,500,polyp,293,130,549,254
299.jpg,574,500,polyp,316,200,546,361
300.jpg,574,500,polyp,344,220,547,386
301.jpg,574,500,polyp,93,148,483,480
302.jpg,574,500,polyp,83,30,550,479
303.jpg,574,500,polyp,113,27,547,483
304.jpg,574,500,polyp,60,80,544,478
305.jpg,574,500,polyp,104,61,544,480
306.jpg,574,500,polyp,146,51,535,477
307.jpg,574,500,polyp,155,103,541,416
308.jpg,574,500,polyp,10,93,459,483
309.jpg,574,500,polyp,96,147,433,460
310.jpg,574,500,polyp,3,53,549,481
311.jpg,574,500,polyp,143,98,551,479
312.jpg,574,500,polyp,151,91,546,479
313.jpg,574,500,polyp,204,50,496,428
314.jpg,574,500,polyp,199,88,533,479
315.jpg,574,500,polyp,214,124,490,479
316.jpg,574,500,polyp,22,121,280,415
317.jpg,574,500,polyp,154,104,526,483
318.jpg,574,500,polyp,135,77,500,481
319.jpg,574,500,polyp,223,86,547,481
320.jpg,574,500,polyp,190,96,547,484
321.jpg,574,500,polyp,3,203,369,482
322.jpg,574,500,polyp,6,12,341,477
323.jpg,574,500,polyp,5,13,246,467
324.jpg,574,500,polyp,7,7,218,324
325.jpg,574,500,polyp,7,6,344,215
326.jpg,574,500,polyp,86,8,424,173
327.jpg,574,500,polyp,121,5,457,176
328.jpg,574,500,polyp,123,9,459,231
329.jpg,574,500,polyp,155,8,492,221
330.jpg,574,500,polyp,21,9,467,301
331.jpg,574,500,polyp,5,125,301,481
332.jpg,574,500,polyp,6,115,389,481
333.jpg,574,500,polyp,6,131,252,474
334.jpg,574,500,polyp,6,80,255,435
335.jpg,574,500,polyp,5,41,354,421
336.jpg,574,500,polyp,17,22,389,375
337.jpg,574,500,polyp,12,12,392,373
338.jpg,574,500,polyp,87,28,444,405
339.jpg,574,500,polyp,91,9,432,356
340.jpg,574,500,polyp,4,214,411,476
341.jpg,574,500,polyp,275,11,327,43
342.jpg,574,500,polyp,273,9,318,32
343.jpg,574,500,polyp,272,81,341,147
344.jpg,574,500,polyp,284,28,372,73
345.jpg,574,500,polyp,283,9,369,42
346.jpg,574,500,polyp,292,130,412,196
347.jpg,574,500,polyp,294,197,412,270
348.jpg,574,500,polyp,272,228,385,288
349.jpg,574,500,polyp,358,300,459,356
350.jpg,574,500,polyp,404,329,513,384
351.jpg,574,500,polyp,325,183,390,230
352.jpg,574,500,polyp,310,184,371,231
353.jpg,574,500,polyp,282,203,342,247
354.jpg,574,500,polyp,274,220,330,260
355.jpg,574,500,polyp,243,225,296,261
356.jpg,574,500,polyp,231,203,282,241
357.jpg,574,500,polyp,223,181,273,215
358.jpg,574,500,polyp,219,184,259,219
359.jpg,574,500,polyp,219,179,261,218
360.jpg,574,500,polyp,209,79,260,114
361.jpg,574,500,polyp,170,69,304,177
362.jpg,574,500,polyp,166,89,298,185
363.jpg,574,500,polyp,159,137,259,214
364.jpg,574,500,polyp,153,153,244,211
365.jpg,574,500,polyp,148,153,238,214
366.jpg,574,500,polyp,150,158,240,221
367.jpg,574,500,polyp,146,145,229,218
368.jpg,574,500,polyp,152,158,229,219
369.jpg,574,500,polyp,146,172,215,222
370.jpg,574,500,polyp,142,167,207,222
371.jpg,574,500,polyp,141,171,202,215
372.jpg,574,500,polyp,150,169,204,215
373.jpg,574,500,polyp,145,162,200,214
374.jpg,574,500,polyp,150,164,205,223
375.jpg,574,500,polyp,156,171,214,222
376.jpg,574,500,polyp,181,165,239,217
377.jpg,574,500,polyp,178,168,243,222
378.jpg,574,500,polyp,173,176,240,227
379.jpg,574,500,polyp,160,185,220,230
380.jpg,574,500,polyp,155,179,212,226
